Location,Date,Hum,Raf,Tmx,Tav,Tmi,landUse,Mosq
양평빗물펌프장,2011-05-01 00:00:00,74.9,0.0,15.7,12.5,9.9,3.0,83.0
양평빗물펌프장,2011-05-02 00:00:00,57.6,0,20.7,14.2,8.5,3.0,83.0
양평빗물펌프장,2011-05-03 00:00:00,44.1,0,20.6,15.3,11.9,3.0,83.0
양평빗물펌프장,2011-05-04 00:00:00,41.5,0,21.8,15.9,10.6,3.0,83.0
양평빗물펌프장,2011-05-05 00:00:00,35.9,0,23.7,17.5,12.7,3.0,0.0
양평빗물펌프장,2011-05-06 00:00:00,63.3,0.5,17.9,15.4,13.2,3.0,0.0
양평빗물펌프장,2011-05-07 00:00:00,80.6,3.5,21.8,14.5,11.5,3.0,0.0
양평빗물펌프장,2011-05-08 00:00:00,56.1,0,24.1,17.3,10.3,3.0,0.0
양평빗물펌프장,2011-05-09 00:00:00,78.8,4.0,22.0,17.6,14.6,3.0,0.0
양평빗물펌프장,2011-05-10 00:00:00,89.3,6.5,18.5,16.5,14.5,3.0,0.0
양평빗물펌프장,2011-05-11 00:00:00,74.6,14.0,21.1,17.2,14.4,3.0,0.0
양평빗물펌프장,2011-05-12 00:00:00,64.0,0.0,20.2,15.7,11.5,3.0,0.0
양평빗물펌프장,2011-05-13 00:00:00,56.5,0,20.6,14.6,10.3,3.0,0.0
양평빗물펌프장,2011-05-14 00:00:00,39.8,0,22.9,17.2,12.1,3.0,83.0
양평빗물펌프장,2011-05-15 00:00:00,50.0,0,22.9,17.2,13.0,3.0,0.0
양평빗물펌프장,2011-05-16 00:00:00,48.4,0,22.2,16.4,10.9,3.0,0.0
양평빗물펌프장,2011-05-17 00:00:00,35.4,0,22.8,17.5,11.6,3.0,83.0
양평빗물펌프장,2011-05-18 00:00:00,40.9,0.0,25.4,20.5,13.8,3.0,83.0
양평빗물펌프장,2011-05-19 00:00:00,60.4,0.4,23.6,20.7,18.8,3.0,83.0
양평빗물펌프장,2011-05-20 00:00:00,89.8,15.0,20.5,17.5,15.6,3.0,8.0
양평빗물펌프장,2011-05-21 00:00:00,85.1,2.0,17.7,14.5,12.6,3.0,1.0
양평빗물펌프장,2011-05-22 00:00:00,57.8,0,23.3,17.3,10.7,3.0,83.0
양평빗물펌프장,2011-05-23 00:00:00,45.3,0,25.9,19.5,15.3,3.0,0.0
양평빗물펌프장,2011-05-24 00:00:00,39.5,0,28.0,21.5,14.1,3.0,0.0
양평빗물펌프장,2011-05-25 00:00:00,41.4,0,28.2,22.7,16.7,3.0,0.0
양평빗물펌프장,2011-05-26 00:00:00,47.9,0.0,24.0,20.7,17.9,3.0,0.0
양평빗물펌프장,2011-05-27 00:00:00,53.5,0,24.5,20.1,15.6,3.0,83.0
양평빗물펌프장,2011-05-28 00:00:00,48.0,0,28.9,22.4,15.7,3.0,83.0
양평빗물펌프장,2011-05-29 00:00:00,40.4,0,31.2,24.4,18.4,3.0,83.0
양평빗물펌프장,2011-05-30 00:00:00,41.6,0,28.1,22.7,18.6,3.0,83.0
양평빗물펌프장,2011-05-31 00:00:00,66.5,7.5,23.7,18.7,15.4,3.0,1.0
양평빗물펌프장,2011-06-01 00:00:00,76.9,21.5,21.6,18.0,14.7,3.0,3.0
양평빗물펌프장,2011-06-02 00:00:00,73.6,0,24.7,19.0,15.1,3.0,1.0
양평빗물펌프장,2011-06-03 00:00:00,67.0,0,24.8,19.0,14.4,3.0,1.0
양평빗물펌프장,2011-06-04 00:00:00,76.8,0.5,24.6,18.7,15.8,3.0,3.0
양평빗물펌프장,2011-06-05 00:00:00,62.6,0,27.1,20.4,16.1,3.0,4.0
양평빗물펌프장,2011-06-06 00:00:00,50.5,0,26.9,20.9,15.3,3.0,5.0
양평빗물펌프장,2011-06-07 00:00:00,45.8,0.0,26.6,20.9,15.9,3.0,7.0
양평빗물펌프장,2011-06-08 00:00:00,55.8,1.5,27.5,22.0,18.2,3.0,7.0
양평빗물펌프장,2011-06-09 00:00:00,76.5,0.0,22.0,19.4,17.5,3.0,4.0
양평빗물펌프장,2011-06-10 00:00:00,71.4,0.0,24.3,21.4,17.8,3.0,7.0
양평빗물펌프장,2011-06-11 00:00:00,45.8,0.0,29.2,24.0,20.6,3.0,22.0
양평빗물펌프장,2011-06-12 00:00:00,49.5,0.0,30.2,23.4,19.0,3.0,5.0
양평빗물펌프장,2011-06-13 00:00:00,69.9,0.5,26.9,21.0,16.6,3.0,2.0
양평빗물펌프장,2011-06-14 00:00:00,57.6,0,29.5,22.8,16.8,3.0,4.0
양평빗물펌프장,2011-06-15 00:00:00,50.8,1.0,31.9,25.2,19.1,3.0,9.0
양평빗물펌프장,2011-06-16 00:00:00,43.3,0,32.0,26.5,20.3,3.0,1.0
양평빗물펌프장,2011-06-17 00:00:00,43.0,0.0,31.3,24.9,22.1,3.0,2.0
양평빗물펌프장,2011-06-18 00:00:00,52.5,0,28.9,24.5,20.8,3.0,4.0
양평빗물펌프장,2011-06-19 00:00:00,50.4,0,32.9,26.6,20.7,3.0,5.0
양평빗물펌프장,2011-06-20 00:00:00,52.5,0,32.0,26.6,22.7,3.0,0.0
양평빗물펌프장,2011-06-21 00:00:00,59.9,0,29.6,24.1,19.4,3.0,5.0
양평빗물펌프장,2011-06-22 00:00:00,83.6,16.0,24.9,22.7,20.9,3.0,197.0
양평빗물펌프장,2011-06-23 00:00:00,92.3,41.0,23.3,22.0,21.2,3.0,7.0
양평빗물펌프장,2011-06-24 00:00:00,88.9,10.5,21.6,19.7,18.6,3.0,13.0
양평빗물펌프장,2011-06-25 00:00:00,84.9,37.0,20.0,18.3,17.5,3.0,70.0
양평빗물펌프장,2011-06-26 00:00:00,82.1,40.0,21.6,19.2,17.2,3.0,14.0
양평빗물펌프장,2011-06-27 00:00:00,85.9,11.5,20.5,19.2,18.3,3.0,16.0
양평빗물펌프장,2011-06-28 00:00:00,67.3,0.5,29.7,24.1,18.2,3.0,20.0
양평빗물펌프장,2011-06-29 00:00:00,92.3,177.0,23.3,21.0,19.7,3.0,20.0
양평빗물펌프장,2011-06-30 00:00:00,87.4,46.0,27.9,23.8,21.0,3.0,6.0
양평빗물펌프장,2011-07-01 00:00:00,78.9,0,28.6,25.1,22.2,3.0,11.0
양평빗물펌프장,2011-07-02 00:00:00,82.3,0.0,26.8,24.7,22.7,3.0,111.0
양평빗물펌프장,2011-07-03 00:00:00,92.1,115.0,24.8,22.6,20.7,3.0,22.0
양평빗물펌프장,2011-07-04 00:00:00,76.8,0,28.0,22.5,18.9,3.0,10.0
양평빗물펌프장,2011-07-05 00:00:00,64.6,0,30.7,24.3,19.0,3.0,34.0
양평빗물펌프장,2011-07-06 00:00:00,60.9,0,31.2,25.6,20.4,3.0,387.0
양평빗물펌프장,2011-07-07 00:00:00,84.9,42.5,25.3,22.9,20.9,3.0,194.0
양평빗물펌프장,2011-07-08 00:00:00,84.1,13.0,24.6,22.4,20.6,3.0,23.0
양평빗물펌프장,2011-07-09 00:00:00,83.5,15.0,27.8,23.6,20.8,3.0,47.0
양평빗물펌프장,2011-07-10 00:00:00,80.4,6.0,28.4,24.2,21.4,3.0,56.0
양평빗물펌프장,2011-07-11 00:00:00,90.3,42.5,22.1,21.2,19.9,3.0,3.0
양평빗물펌프장,2011-07-12 00:00:00,87.9,51.5,25.6,22.8,20.9,3.0,23.0
양평빗물펌프장,2011-07-13 00:00:00,85.6,29.0,26.2,24.3,22.5,3.0,9.0
양평빗물펌프장,2011-07-14 00:00:00,89.5,38.0,24.6,23.6,22.3,3.0,2.0
양평빗물펌프장,2011-07-15 00:00:00,89.4,15.0,26.0,23.4,21.6,3.0,9.0
양평빗물펌프장,2011-07-16 00:00:00,91.1,54.5,25.3,22.8,21.2,3.0,3.0
양평빗물펌프장,2011-07-17 00:00:00,82.5,1.0,29.1,25.1,22.2,3.0,90.0
양평빗물펌프장,2011-07-18 00:00:00,62.8,0,34.1,28.7,24.4,3.0,776.0
양평빗물펌프장,2011-07-19 00:00:00,55.5,0,32.7,28.5,24.7,3.0,1356.0
양평빗물펌프장,2011-07-20 00:00:00,50.3,0,32.6,27.6,23.6,3.0,1718.0
양평빗물펌프장,2011-07-21 00:00:00,48.0,0,32.2,27.1,22.3,3.0,24.0
양평빗물펌프장,2011-07-22 00:00:00,71.0,1.5,26.6,24.1,21.4,3.0,153.0
양평빗물펌프장,2011-07-23 00:00:00,76.3,3.0,29.7,25.4,22.9,3.0,16.0
양평빗물펌프장,2011-07-24 00:00:00,81.6,8.0,27.9,24.8,22.8,3.0,28.0
양평빗물펌프장,2011-07-25 00:00:00,85.3,27.5,27.9,24.9,23.2,3.0,3.0
양평빗물펌프장,2011-07-26 00:00:00,81.0,171.0,29.3,24.8,21.1,3.0,1.0
양평빗물펌프장,2011-07-27 00:00:00,92.1,301.5,26.2,24.0,22.3,3.0,0.0
양평빗물펌프장,2011-07-28 00:00:00,89.0,115.0,26.3,24.7,22.8,3.0,0.0
양평빗물펌프장,2011-07-29 00:00:00,81.6,7.5,30.2,26.2,23.9,3.0,0.0
양평빗물펌프장,2011-07-30 00:00:00,75.3,0.0,30.5,27.2,24.4,3.0,0.0
양평빗물펌프장,2011-07-31 00:00:00,87.8,73.0,26.6,24.7,23.2,3.0,1.0
양평빗물펌프장,2011-08-01 00:00:00,81.1,0.5,29.2,25.6,23.3,3.0,0.0
양평빗물펌프장,2011-08-02 00:00:00,77.5,0.5,30.1,26.1,24.4,3.0,0.0
양평빗물펌프장,2011-08-03 00:00:00,83.0,41.5,28.1,25.4,23.7,3.0,0.0
양평빗물펌프장,2011-08-04 00:00:00,86.3,10.0,28.0,25.4,23.7,3.0,0.0
양평빗물펌프장,2011-08-05 00:00:00,67.8,0,34.1,28.9,23.4,3.0,0.0
양평빗물펌프장,2011-08-06 00:00:00,67.5,1.5,32.7,28.5,26.1,3.0,0.0
양평빗물펌프장,2011-08-07 00:00:00,63.9,4.5,33.0,28.7,24.9,3.0,0.0
양평빗물펌프장,2011-08-08 00:00:00,84.8,39.5,27.7,24.7,23.6,3.0,0.0
양평빗물펌프장,2011-08-09 00:00:00,76.3,0.0,28.7,26.0,24.4,3.0,0.0
양평빗물펌프장,2011-08-10 00:00:00,81.0,0.3,28.9,25.8,23.2,3.0,0.0
양평빗물펌프장,2011-08-11 00:00:00,78.9,0.0,29.9,26.6,24.5,3.0,0.0
양평빗물펌프장,2011-08-12 00:00:00,86.5,19.5,26.3,25.3,24.1,3.0,0.0
양평빗물펌프장,2011-08-13 00:00:00,83.9,6.5,26.6,25.3,23.9,3.0,0.0
양평빗물펌프장,2011-08-14 00:00:00,86.8,9.5,26.8,25.0,23.9,3.0,0.0
양평빗물펌프장,2011-08-15 00:00:00,87.3,0.5,26.9,24.5,22.9,3.0,0.0
양평빗물펌프장,2011-08-16 00:00:00,87.8,16.0,26.2,25.0,23.6,3.0,0.0
양평빗물펌프장,2011-08-17 00:00:00,91.1,4.0,24.6,23.7,22.8,3.0,0.0
양평빗물펌프장,2011-08-18 00:00:00,73.3,0.0,30.2,25.2,21.5,3.0,0.0
양평빗물펌프장,2011-08-19 00:00:00,75.6,0,29.2,24.4,21.7,3.0,0.0
양평빗물펌프장,2011-08-20 00:00:00,76.9,0.5,27.0,23.1,20.3,3.0,0.0
양평빗물펌프장,2011-08-21 00:00:00,68.4,0,31.0,24.4,18.7,3.0,0.0
양평빗물펌프장,2011-08-22 00:00:00,71.4,3.5,29.6,23.5,19.8,3.0,0.0
양평빗물펌프장,2011-08-23 00:00:00,60.1,0,30.5,24.3,18.1,3.0,0.0
양평빗물펌프장,2011-08-24 00:00:00,57.9,0,28.6,24.8,21.2,3.0,0.0
양평빗물펌프장,2011-08-25 00:00:00,57.3,0,30.5,25.7,21.0,3.0,0.0
양평빗물펌프장,2011-08-26 00:00:00,57.5,0,30.3,26.4,23.2,3.0,0.0
양평빗물펌프장,2011-08-27 00:00:00,59.5,0,31.2,27.6,23.5,3.0,0.0
양평빗물펌프장,2011-08-28 00:00:00,66.8,0,32.0,27.3,24.3,3.0,0.0
양평빗물펌프장,2011-08-29 00:00:00,75.6,0,29.9,26.8,24.5,3.0,0.0
양평빗물펌프장,2011-08-30 00:00:00,70.0,8.5,32.4,27.1,24.2,3.0,0.0
양평빗물펌프장,2011-08-31 00:00:00,62.6,0,32.8,27.9,23.6,3.0,0.0
양평빗물펌프장,2011-09-01 00:00:00,63.3,0,31.1,27.0,22.9,3.0,366.0
양평빗물펌프장,2011-09-02 00:00:00,58.1,0,32.4,26.9,22.9,3.0,2000.0
양평빗물펌프장,2011-09-03 00:00:00,48.0,0,30.7,25.1,20.3,3.0,198.0
양평빗물펌프장,2011-09-04 00:00:00,47.6,0,30.2,23.7,19.4,3.0,308.0
양평빗물펌프장,2011-09-05 00:00:00,55.9,0,28.5,23.8,19.5,3.0,326.0
양평빗물펌프장,2011-09-06 00:00:00,52.5,0,28.7,23.4,18.8,3.0,374.0
양평빗물펌프장,2011-09-07 00:00:00,49.9,0,27.3,22.6,17.5,3.0,192.0
양평빗물펌프장,2011-09-08 00:00:00,53.8,0.0,25.8,22.3,20.4,3.0,200.0
양평빗물펌프장,2011-09-09 00:00:00,75.5,2.5,20.7,19.9,19.0,3.0,273.0
양평빗물펌프장,2011-09-10 00:00:00,68.6,0,26.4,21.5,18.0,3.0,86.0
양평빗물펌프장,2011-09-11 00:00:00,77.1,0.0,22.5,21.2,19.5,3.0,200.0
양평빗물펌프장,2011-09-12 00:00:00,69.6,0.0,27.0,23.3,20.0,3.0,329.0
양평빗물펌프장,2011-09-13 00:00:00,50.3,0,30.9,25.0,20.9,3.0,365.0
양평빗물펌프장,2011-09-14 00:00:00,70.9,0,28.1,24.4,22.8,3.0,253.0
양평빗물펌프장,2011-09-15 00:00:00,68.8,0,31.3,25.7,21.2,3.0,174.0
양평빗물펌프장,2011-09-16 00:00:00,68.1,0,31.2,25.6,21.7,3.0,292.0
양평빗물펌프장,2011-09-17 00:00:00,65.6,0.0,31.0,25.8,21.6,3.0,313.0
양평빗물펌프장,2011-09-18 00:00:00,63.0,0.5,26.4,21.0,17.5,3.0,343.0
양평빗물펌프장,2011-09-19 00:00:00,56.1,0.1,18.2,16.8,14.5,3.0,137.0
양평빗물펌프장,2011-09-20 00:00:00,44.5,0,23.2,17.7,13.4,3.0,207.0
양평빗물펌프장,2011-09-21 00:00:00,44.4,0,24.0,18.1,12.4,3.0,32.0
양평빗물펌프장,2011-09-22 00:00:00,49.8,0,24.6,18.1,11.9,3.0,92.0
양평빗물펌프장,2011-09-23 00:00:00,49.9,0,26.0,19.5,13.5,3.0,99.0
양평빗물펌프장,2011-09-24 00:00:00,55.9,0,25.9,19.6,14.4,3.0,102.0
양평빗물펌프장,2011-09-25 00:00:00,61.3,0,26.6,20.0,14.6,3.0,97.0
양평빗물펌프장,2011-09-26 00:00:00,52.1,0,27.7,21.2,14.8,3.0,202.0
양평빗물펌프장,2011-09-27 00:00:00,41.1,0,29.2,21.8,15.4,3.0,134.0
양평빗물펌프장,2011-09-28 00:00:00,52.6,0,23.5,19.8,16.6,3.0,19.0
양평빗물펌프장,2011-09-29 00:00:00,83.3,22.5,19.5,16.9,15.5,3.0,13.0
양평빗물펌프장,2011-09-30 00:00:00,49.5,0,18.6,14.8,10.3,3.0,3.0
양평빗물펌프장,2011-10-01 00:00:00,48.9,0,17.6,12.7,7.7,3.0,1.0
양평빗물펌프장,2011-10-02 00:00:00,42.1,0,18.1,13.3,9.6,3.0,12.0
양평빗물펌프장,2011-10-03 00:00:00,44.3,0,20.8,13.8,7.3,3.0,5.0
양평빗물펌프장,2011-10-04 00:00:00,47.3,0,21.2,14.9,8.4,3.0,18.0
양평빗물펌프장,2011-10-05 00:00:00,51.5,0,22.0,16.4,12.7,3.0,15.0
양평빗물펌프장,2011-10-06 00:00:00,54.1,0,20.2,16.5,12.7,3.0,38.0
양평빗물펌프장,2011-10-07 00:00:00,57.5,0,21.2,15.4,10.5,3.0,44.0
양평빗물펌프장,2011-10-08 00:00:00,55.3,0,22.5,16.2,10.4,3.0,39.0
양평빗물펌프장,2011-10-09 00:00:00,59.0,0,22.5,16.6,11.9,3.0,30.0
양평빗물펌프장,2011-10-10 00:00:00,69.6,0,21.8,16.9,12.4,3.0,48.0
양평빗물펌프장,2011-10-11 00:00:00,58.1,0,22.4,16.5,12.4,3.0,42.0
양평빗물펌프장,2011-10-12 00:00:00,52.5,0,18.7,14.7,10.7,3.0,50.0
양평빗물펌프장,2011-10-13 00:00:00,51.4,0,23.4,16.6,10.7,3.0,37.0
양평빗물펌프장,2011-10-14 00:00:00,79.3,5.0,15.7,14.4,12.7,3.0,42.0
양평빗물펌프장,2011-10-15 00:00:00,85.3,20.0,16.9,13.0,11.4,3.0,20.0
양평빗물펌프장,2011-10-16 00:00:00,62.8,0.5,20.1,14.8,11.1,3.0,21.0
양평빗물펌프장,2011-10-17 00:00:00,34.3,0,14.8,11.2,7.0,3.0,24.0
양평빗물펌프장,2011-10-18 00:00:00,37.4,0,15.4,9.4,3.9,3.0,6.0
양평빗물펌프장,2012-05-01 00:00:00,46.1,0,28.3,22.6,17.3,3.0,278.0
양평빗물펌프장,2012-05-02 00:00:00,47.3,0.4,29.1,23.1,19.0,3.0,278.0
양평빗물펌프장,2012-05-03 00:00:00,53.8,0.2,25.4,20.0,17.0,3.0,278.0
양평빗물펌프장,2012-05-04 00:00:00,48.8,0,25.7,19.7,14.3,3.0,278.0
양평빗물펌프장,2012-05-05 00:00:00,42.4,0,24.9,18.8,13.5,3.0,278.0
양평빗물펌프장,2012-05-06 00:00:00,31.9,0,24.1,18.1,13.1,3.0,140.0
양평빗물펌프장,2012-05-07 00:00:00,33.3,0,24.9,18.5,12.2,3.0,96.0
양평빗물펌프장,2012-05-08 00:00:00,27.5,0,28.0,20.8,14.2,3.0,107.0
양평빗물펌프장,2012-05-09 00:00:00,45.4,0,27.4,20.7,15.0,3.0,70.0
양평빗물펌프장,2012-05-10 00:00:00,45.1,0,26.6,20.1,15.5,3.0,88.0
양평빗물펌프장,2012-05-11 00:00:00,55.4,0,19.2,16.2,13.2,3.0,65.0
양평빗물펌프장,2012-05-12 00:00:00,57.9,0,21.1,17.1,14.4,3.0,41.0
양평빗물펌프장,2012-05-13 00:00:00,53.0,0,25.2,19.1,14.8,3.0,74.0
양평빗물펌프장,2012-05-14 00:00:00,78.8,6.5,17.2,16.1,15.1,3.0,68.0
양평빗물펌프장,2012-05-15 00:00:00,65.3,0.0,22.7,16.9,13.0,3.0,65.0
양평빗물펌프장,2012-05-16 00:00:00,58.6,0.0,22.0,16.6,12.7,3.0,70.0
양평빗물펌프장,2012-05-17 00:00:00,56.6,0.5,20.5,16.6,13.9,3.0,65.0
양평빗물펌프장,2012-05-18 00:00:00,51.4,0,24.5,18.1,12.0,3.0,72.0
양평빗물펌프장,2012-05-19 00:00:00,38.0,0,25.8,19.5,13.1,3.0,130.0
양평빗물펌프장,2012-05-20 00:00:00,39.1,0,28.7,21.3,14.5,3.0,99.0
양평빗물펌프장,2012-05-21 00:00:00,34.8,0,28.9,23.0,17.2,3.0,72.0
양평빗물펌프장,2012-05-22 00:00:00,34.6,0,29.3,23.3,17.8,3.0,78.0
양평빗물펌프장,2012-05-23 00:00:00,39.5,0,27.8,22.1,18.3,3.0,100.0
양평빗물펌프장,2012-05-24 00:00:00,53.0,0,24.0,19.7,17.0,3.0,105.0
양평빗물펌프장,2012-05-25 00:00:00,45.4,0,26.6,20.5,16.2,3.0,102.0
양평빗물펌프장,2012-05-26 00:00:00,44.8,0,26.1,19.8,14.1,3.0,91.0
양평빗물펌프장,2012-05-27 00:00:00,65.6,0.3,23.4,19.3,17.1,3.0,88.0
양평빗물펌프장,2012-05-28 00:00:00,58.0,0.1,26.0,20.9,16.4,3.0,116.0
양평빗물펌프장,2012-05-29 00:00:00,40.8,0,25.4,21.6,18.8,3.0,93.0
양평빗물펌프장,2012-05-30 00:00:00,44.4,0.0,23.6,20.7,18.6,3.0,93.0
양평빗물펌프장,2012-05-31 00:00:00,58.6,0.2,27.2,20.9,16.6,3.0,55.0
양평빗물펌프장,2012-06-01 00:00:00,52.3,0,26.7,21.4,16.3,3.0,88.0
양평빗물펌프장,2012-06-02 00:00:00,44.8,0,28.8,23.1,19.2,3.0,220.0
양평빗물펌프장,2012-06-03 00:00:00,38.9,0,29.1,23.3,18.0,3.0,77.0
양평빗물펌프장,2012-06-04 00:00:00,35.1,0,29.1,23.7,18.6,3.0,109.0
양평빗물펌프장,2012-06-05 00:00:00,62.6,0.0,27.5,22.5,19.8,3.0,84.0
양평빗물펌프장,2012-06-06 00:00:00,62.0,0,28.9,23.0,19.1,3.0,106.0
양평빗물펌프장,2012-06-07 00:00:00,62.8,0,29.4,23.0,18.5,3.0,94.0
양평빗물펌프장,2012-06-08 00:00:00,66.4,2.0,27.9,22.2,19.0,3.0,278.0
양평빗물펌프장,2012-06-09 00:00:00,59.5,0,29.9,24.2,18.6,3.0,278.0
양평빗물펌프장,2012-06-10 00:00:00,58.8,0,28.7,23.7,20.8,3.0,278.0
양평빗물펌프장,2012-06-11 00:00:00,59.4,0,27.8,23.2,20.3,3.0,2.0
양평빗물펌프장,2012-06-12 00:00:00,58.9,0.4,28.9,22.6,19.0,3.0,231.0
양평빗물펌프장,2012-06-13 00:00:00,53.1,0,28.9,23.4,18.3,3.0,107.0
양평빗물펌프장,2012-06-14 00:00:00,49.1,0,31.7,24.8,19.3,3.0,221.0
양평빗물펌프장,2012-06-15 00:00:00,52.8,0,28.0,23.7,20.4,3.0,163.0
양평빗물펌프장,2012-06-16 00:00:00,61.3,0,29.9,23.5,20.2,3.0,131.0
양평빗물펌프장,2012-06-17 00:00:00,52.5,0,29.8,23.6,18.1,3.0,205.0
양평빗물펌프장,2012-06-18 00:00:00,46.5,0,30.2,24.9,20.1,3.0,430.0
양평빗물펌프장,2012-06-19 00:00:00,44.8,0,33.5,26.0,20.9,3.0,547.0
양평빗물펌프장,2012-06-20 00:00:00,49.1,0,31.3,25.4,21.3,3.0,300.0
양평빗물펌프장,2012-06-21 00:00:00,55.3,0,32.4,25.7,21.3,3.0,214.0
양평빗물펌프장,2012-06-22 00:00:00,61.4,0.0,29.3,24.3,21.3,3.0,596.0
양평빗물펌프장,2012-06-23 00:00:00,55.8,0,31.7,26.2,21.5,3.0,483.0
양평빗물펌프장,2012-06-24 00:00:00,48.3,0,32.8,27.8,23.6,3.0,605.0
양평빗물펌프장,2012-06-25 00:00:00,40.5,0,33.2,26.5,22.2,3.0,364.0
양평빗물펌프장,2012-06-26 00:00:00,44.9,0,30.8,24.6,20.6,3.0,288.0
양평빗물펌프장,2012-06-27 00:00:00,47.1,0,31.0,24.8,19.3,3.0,295.0
양평빗물펌프장,2012-06-28 00:00:00,50.4,0,29.6,25.3,20.9,3.0,349.0
양평빗물펌프장,2012-06-29 00:00:00,60.4,20.0,31.0,25.9,22.0,3.0,307.0
양평빗물펌프장,2012-06-30 00:00:00,87.8,69.5,23.7,21.9,20.2,3.0,82.0
양평빗물펌프장,2012-07-01 00:00:00,80.1,0.0,25.4,21.6,19.2,3.0,93.0
양평빗물펌프장,2012-07-02 00:00:00,62.8,0,29.8,24.0,21.7,3.0,361.0
양평빗물펌프장,2012-07-03 00:00:00,78.1,25.0,25.7,22.7,19.7,3.0,406.0
양평빗물펌프장,2012-07-04 00:00:00,79.8,0.3,27.4,24.4,22.6,3.0,193.0
양평빗물펌프장,2012-07-05 00:00:00,89.6,72.0,24.6,22.7,20.9,3.0,92.0
양평빗물펌프장,2012-07-06 00:00:00,88.8,102.5,21.8,20.9,19.9,3.0,63.0
양평빗물펌프장,2012-07-07 00:00:00,62.1,0,31.0,24.8,18.5,3.0,78.0
양평빗물펌프장,2012-07-08 00:00:00,64.5,0,30.7,25.8,21.4,3.0,173.0
양평빗물펌프장,2012-07-09 00:00:00,64.1,0,32.3,26.3,21.9,3.0,297.0
양평빗물펌프장,2012-07-10 00:00:00,67.4,6.5,29.1,25.9,21.7,3.0,404.0
양평빗물펌프장,2012-07-11 00:00:00,83.5,8.0,26.5,23.3,21.0,3.0,164.0
양평빗물펌프장,2012-07-12 00:00:00,72.3,0.0,28.5,24.7,21.1,3.0,154.0
양평빗물펌프장,2012-07-13 00:00:00,76.1,76.5,29.3,26.1,21.8,3.0,143.0
양평빗물펌프장,2012-07-14 00:00:00,82.1,8.0,26.2,22.8,20.4,3.0,195.0
양평빗물펌프장,2012-07-15 00:00:00,89.5,32.5,20.5,19.7,19.1,3.0,193.0
양평빗물펌프장,2012-07-16 00:00:00,80.3,2.5,25.0,21.7,19.0,3.0,135.0
양평빗물펌프장,2012-07-17 00:00:00,70.5,0.0,29.0,25.5,21.6,3.0,721.0
양평빗물펌프장,2012-07-18 00:00:00,78.8,6.0,28.4,26.3,24.7,3.0,817.0
양평빗물펌프장,2012-07-19 00:00:00,85.3,72.5,26.5,23.9,22.4,3.0,731.0
양평빗물펌프장,2012-07-20 00:00:00,73.6,1.0,29.7,25.6,22.1,3.0,860.0
양평빗물펌프장,2012-07-21 00:00:00,67.4,0,31.4,27.5,24.1,3.0,2000.0
양평빗물펌프장,2012-07-22 00:00:00,74.4,16.5,30.4,27.2,23.7,3.0,2000.0
양평빗물펌프장,2012-07-23 00:00:00,73.9,1.0,30.5,27.6,25.6,3.0,2000.0
양평빗물펌프장,2012-07-24 00:00:00,71.9,0,32.1,27.8,25.5,3.0,646.0
양평빗물펌프장,2012-07-25 00:00:00,68.0,0,32.1,27.9,24.2,3.0,595.0
양평빗물펌프장,2012-07-26 00:00:00,63.4,0,32.6,28.1,24.3,3.0,551.0
양평빗물펌프장,2012-07-27 00:00:00,68.0,0,32.3,27.9,24.9,3.0,299.0
양평빗물펌프장,2012-07-28 00:00:00,67.3,0,33.2,28.5,25.2,3.0,253.0
양평빗물펌프장,2012-07-29 00:00:00,66.8,0.0,33.2,29.2,26.2,3.0,256.0
양평빗물펌프장,2012-07-30 00:00:00,72.3,18.0,31.6,28.4,23.0,3.0,135.0
양평빗물펌프장,2012-07-31 00:00:00,66.1,0.1,33.0,29.0,26.6,3.0,87.0
양평빗물펌프장,2012-08-01 00:00:00,56.8,0,35.3,30.8,25.9,3.0,205.0
양평빗물펌프장,2012-08-02 00:00:00,53.6,0,35.5,30.8,26.8,3.0,54.0
양평빗물펌프장,2012-08-03 00:00:00,51.9,0,35.4,31.3,27.1,3.0,18.0
양평빗물펌프장,2012-08-04 00:00:00,50.1,0,36.2,31.7,28.2,3.0,26.0
양평빗물펌프장,2012-08-05 00:00:00,51.0,0,36.7,31.8,27.5,3.0,36.0
양평빗물펌프장,2012-08-06 00:00:00,54.1,0,35.8,31.5,27.8,3.0,59.0
양평빗물펌프장,2012-08-07 00:00:00,48.0,0,35.0,30.7,26.6,3.0,31.0
양평빗물펌프장,2012-08-08 00:00:00,51.6,0,34.3,29.6,25.6,3.0,36.0
양평빗물펌프장,2012-08-09 00:00:00,63.5,0,34.6,29.7,26.6,3.0,32.0
양평빗물펌프장,2012-08-10 00:00:00,69.4,0.3,29.0,27.4,25.7,3.0,53.0
양평빗물펌프장,2012-08-11 00:00:00,65.0,0,31.8,27.7,24.0,3.0,702.0
양평빗물펌프장,2012-08-12 00:00:00,80.3,17.0,27.9,25.5,22.3,3.0,705.0
양평빗물펌프장,2012-08-13 00:00:00,65.0,2.0,32.1,26.6,22.1,3.0,314.0
양평빗물펌프장,2012-08-14 00:00:00,64.3,15.5,31.2,26.7,23.2,3.0,407.0
양평빗물펌프장,2012-08-15 00:00:00,88.0,136.5,27.1,23.7,22.4,3.0,9.0
양평빗물펌프장,2012-08-16 00:00:00,68.8,0,28.9,26.0,22.7,3.0,144.0
